Organization 1 has 5 low density subscriptions, 9 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 530 has 3 low density subscriptions, 1 high density subscriptions, and 1 physical servers with a total of 6 sockets. They are running 25 virtual machines, with 5 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 531 has 5 low density subscriptions, 8 high density subscriptions, and 3 physical servers with a total of 7 sockets. They are running 5 virtual machines, with 18 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 532 has 3 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 22 virtual machines, with 9 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 533 has 8 low density subscriptions, 7 high density subscriptions, and 1 physical servers with a total of 6 sockets. They are running 49 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 534 has 6 low density subscriptions, 8 high density subscriptions, and 9 physical servers with a total of 9 sockets. They are running 16 virtual machines, with 8 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 535 has 4 low density subscriptions, 5 high density subscriptions, and 4 physical servers with a total of 2 sockets. They are running 31 virtual machines, with 8 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 536 has 6 low density subscriptions, 0 high density subscriptions, and 4 physical servers with a total of 8 sockets. They are running 48 virtual machines, with 0 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 537 has 3 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 0 virtual machines, with 0 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 538 has 6 low density subscriptions, 9 high density subscriptions, and 7 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 12 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 539 has 2 low density subscriptions, 5 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 33 virtual machines, with 18 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 540 has 6 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 5 sockets. They are running 31 virtual machines, with 15 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 541 has 5 low density subscriptions, 4 high density subscriptions, and 3 physical servers with a total of 7 sockets. They are running 6 virtual machines, with 12 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 542 has 5 low density subscriptions, 9 high density subscriptions, and 6 physical servers with a total of 7 sockets. They are running 0 virtual machines, with 17 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 543 has 9 low density subscriptions, 8 high density subscriptions, and 5 physical servers with a total of 8 sockets. They are running 8 virtual machines, with 9 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 544 has 4 low density subscriptions, 2 high density subscriptions, and 3 physical servers with a total of 1 sockets. They are running 24 virtual machines, with 13 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 545 has 6 low density subscriptions, 8 high density subscriptions, and 1 physical servers with a total of 4 sockets. They are running 6 virtual machines, with 2 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 546 has 5 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 3 sockets. They are running 11 virtual machines, with 0 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 547 has 1 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 4 virtual machines, with 9 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 548 has 3 low density subscriptions, 7 high density subscriptions, and 6 physical servers with a total of 8 sockets. They are running 37 virtual machines, with 6 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 549 has 3 low density subscriptions, 4 high density subscriptions, and 9 physical servers with a total of 4 sockets. They are running 7 virtual machines, with 3 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 550 has 8 low density subscriptions, 8 high density subscriptions, and 5 physical servers with a total of 4 sockets. They are running 25 virtual machines, with 19 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 551 has 9 low density subscriptions, 3 high density subscriptions, and 1 physical servers with a total of 4 sockets. They are running 42 virtual machines, with 6 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 552 has 5 low density subscriptions, 3 high density subscriptions, and 7 physical servers with a total of 8 sockets. They are running 5 virtual machines, with 1 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 553 has 5 low density subscriptions, 1 high density subscriptions, and 2 physical servers with a total of 4 sockets. They are running 37 virtual machines, with 1 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 554 has 6 low density subscriptions, 7 high density subscriptions, and 2 physical servers with a total of 9 sockets. They are running 4 virtual machines, with 5 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 555 has 0 low density subscriptions, 5 high density subscriptions, and 4 physical servers with a total of 7 sockets. They are running 42 virtual machines, with 1 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 556 has 9 low density subscriptions, 5 high density subscriptions, and 1 physical servers with a total of 7 sockets. They are running 12 virtual machines, with 1 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 557 has 7 low density subscriptions, 7 high density subscriptions, and 4 physical servers with a total of 3 sockets. They are running 16 virtual machines, with 3 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 558 has 5 low density subscriptions, 7 high density subscriptions, and 2 physical servers with a total of 4 sockets. They are running 5 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 559 has 1 low density subscriptions, 3 high density subscriptions, and 4 physical servers with a total of 5 sockets. They are running 13 virtual machines, with 18 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 560 has 5 low density subscriptions, 2 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 11 virtual machines, with 1 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 561 has 6 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 6 sockets. They are running 22 virtual machines, with 3 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 562 has 6 low density subscriptions, 2 high density subscriptions, and 8 physical servers with a total of 6 sockets. They are running 42 virtual machines, with 13 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 563 has 8 low density subscriptions, 9 high density subscriptions, and 7 physical servers with a total of 3 sockets. They are running 39 virtual machines, with 2 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 564 has 7 low density subscriptions, 5 high density subscriptions, and 5 physical servers with a total of 2 sockets. They are running 0 virtual machines, with 15 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 565 has 5 low density subscriptions, 8 high density subscriptions, and 6 physical servers with a total of 9 sockets. They are running 24 virtual machines, with 11 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 566 has 3 low density subscriptions, 8 high density subscriptions, and 7 physical servers with a total of 6 sockets. They are running 48 virtual machines, with 1 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 567 has 2 low density subscriptions, 8 high density subscriptions, and 1 physical servers with a total of 3 sockets. They are running 27 virtual machines, with 9 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 568 has 9 low density subscriptions, 2 high density subscriptions, and 5 physical servers with a total of 5 sockets. They are running 30 virtual machines, with 9 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 569 has 9 low density subscriptions, 2 high density subscriptions, and 4 physical servers with a total of 5 sockets. They are running 24 virtual machines, with 11 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 570 has 3 low density subscriptions, 8 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 28 virtual machines, with 16 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 571 has 2 low density subscriptions, 4 high density subscriptions, and 1 physical servers with a total of 5 sockets. They are running 24 virtual machines, with 9 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 572 has 5 low density subscriptions, 1 high density subscriptions, and 1 physical servers with a total of 7 sockets. They are running 30 virtual machines, with 0 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 573 has 4 low density subscriptions, 1 high density subscriptions, and 9 physical servers with a total of 3 sockets. They are running 46 virtual machines, with 4 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 574 has 1 low density subscriptions, 0 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 32 virtual machines, with 11 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 575 has 5 low density subscriptions, 2 high density subscriptions, and 7 physical servers with a total of 4 sockets. They are running 46 virtual machines, with 3 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 576 has 8 low density subscriptions, 1 high density subscriptions, and 6 physical servers with a total of 5 sockets. They are running 35 virtual machines, with 12 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 577 has 3 low density subscriptions, 7 high density subscriptions, and 8 physical servers with a total of 8 sockets. They are running 22 virtual machines, with 2 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 578 has 5 low density subscriptions, 0 high density subscriptions, and 4 physical servers with a total of 6 sockets. They are running 47 virtual machines, with 0 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 579 has 8 low density subscriptions, 2 high density subscriptions, and 3 physical servers with a total of 3 sockets. They are running 8 virtual machines, with 4 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 580 has 4 low density subscriptions, 9 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 3 virtual machines, with 10 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 581 has 1 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 1 sockets. They are running 36 virtual machines, with 3 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 582 has 7 low density subscriptions, 4 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 14 virtual machines, with 11 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 583 has 8 low density subscriptions, 9 high density subscriptions, and 9 physical servers with a total of 8 sockets. They are running 36 virtual machines, with 9 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 584 has 1 low density subscriptions, 3 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 17 virtual machines, with 5 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 585 has 2 low density subscriptions, 0 high density subscriptions, and 6 physical servers with a total of 2 sockets. They are running 19 virtual machines, with 1 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 586 has 1 low density subscriptions, 0 high density subscriptions, and 2 physical servers with a total of 4 sockets. They are running 24 virtual machines, with 3 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 587 has 1 low density subscriptions, 6 high density subscriptions, and 3 physical servers with a total of 7 sockets. They are running 24 virtual machines, with 10 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 588 has 7 low density subscriptions, 4 high density subscriptions, and 7 physical servers with a total of 8 sockets. They are running 35 virtual machines, with 16 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 589 has 5 low density subscriptions, 3 high density subscriptions, and 4 physical servers with a total of 5 sockets. They are running 1 virtual machines, with 1 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 590 has 0 low density subscriptions, 3 high density subscriptions, and 3 physical servers with a total of 3 sockets. They are running 12 virtual machines, with 3 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 591 has 4 low density subscriptions, 1 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 20 virtual machines, with 13 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 592 has 1 low density subscriptions, 0 high density subscriptions, and 4 physical servers with a total of 3 sockets. They are running 7 virtual machines, with 4 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 593 has 1 low density subscriptions, 7 high density subscriptions, and 6 physical servers with a total of 2 sockets. They are running 22 virtual machines, with 8 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 594 has 6 low density subscriptions, 8 high density subscriptions, and 2 physical servers with a total of 1 sockets. They are running 44 virtual machines, with 5 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 595 has 6 low density subscriptions, 6 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 15 virtual machines, with 10 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 596 has 0 low density subscriptions, 2 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 32 virtual machines, with 0 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 597 has 2 low density subscriptions, 8 high density subscriptions, and 9 physical servers with a total of 4 sockets. They are running 33 virtual machines, with 3 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 598 has 3 low density subscriptions, 8 high density subscriptions, and 4 physical servers with a total of 7 sockets. They are running 13 virtual machines, with 8 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 599 has 7 low density subscriptions, 9 high density subscriptions, and 3 physical servers with a total of 7 sockets. They are running 1 virtual machines, with 13 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 600 has 9 low density subscriptions, 6 high density subscriptions, and 3 physical servers with a total of 6 sockets. They are running 3 virtual machines, with 0 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 601 has 2 low density subscriptions, 4 high density subscriptions, and 5 physical servers with a total of 4 sockets. They are running 39 virtual machines, with 10 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 602 has 4 low density subscriptions, 1 high density subscriptions, and 8 physical servers with a total of 5 sockets. They are running 36 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 603 has 9 low density subscriptions, 8 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 38 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 604 has 0 low density subscriptions, 5 high density subscriptions, and 9 physical servers with a total of 9 sockets. They are running 27 virtual machines, with 13 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 605 has 6 low density subscriptions, 4 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 34 virtual machines, with 2 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 606 has 9 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 2 sockets. They are running 45 virtual machines, with 0 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 607 has 2 low density subscriptions, 5 high density subscriptions, and 4 physical servers with a total of 5 sockets. They are running 38 virtual machines, with 12 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 608 has 4 low density subscriptions, 7 high density subscriptions, and 8 physical servers with a total of 1 sockets. They are running 47 virtual machines, with 7 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 609 has 7 low density subscriptions, 6 high density subscriptions, and 7 physical servers with a total of 5 sockets. They are running 25 virtual machines, with 16 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 610 has 3 low density subscriptions, 6 high density subscriptions, and 1 physical servers with a total of 5 sockets. They are running 16 virtual machines, with 15 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 611 has 0 low density subscriptions, 9 high density subscriptions, and 9 physical servers with a total of 3 sockets. They are running 48 virtual machines, with 19 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 612 has 5 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 9 sockets. They are running 9 virtual machines, with 17 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 613 has 4 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 3 sockets. They are running 25 virtual machines, with 0 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 614 has 0 low density subscriptions, 2 high density subscriptions, and 4 physical servers with a total of 2 sockets. They are running 0 virtual machines, with 0 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 615 has 2 low density subscriptions, 7 high density subscriptions, and 9 physical servers with a total of 6 sockets. They are running 15 virtual machines, with 11 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 616 has 3 low density subscriptions, 3 high density subscriptions, and 8 physical servers with a total of 8 sockets. They are running 16 virtual machines, with 10 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 617 has 1 low density subscriptions, 9 high density subscriptions, and 5 physical servers with a total of 6 sockets. They are running 42 virtual machines, with 6 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 618 has 7 low density subscriptions, 9 high density subscriptions, and 8 physical servers with a total of 5 sockets. They are running 36 virtual machines, with 18 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 619 has 1 low density subscriptions, 5 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 7 virtual machines, with 1 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 620 has 3 low density subscriptions, 9 high density subscriptions, and 4 physical servers with a total of 6 sockets. They are running 23 virtual machines, with 19 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 621 has 4 low density subscriptions, 8 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 49 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 622 has 1 low density subscriptions, 3 high density subscriptions, and 9 physical servers with a total of 9 sockets. They are running 40 virtual machines, with 17 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 623 has 7 low density subscriptions, 8 high density subscriptions, and 6 physical servers with a total of 8 sockets. They are running 38 virtual machines, with 10 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 624 has 4 low density subscriptions, 5 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 45 virtual machines, with 12 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 625 has 0 low density subscriptions, 9 high density subscriptions, and 8 physical servers with a total of 6 sockets. They are running 37 virtual machines, with 9 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 626 has 2 low density subscriptions, 0 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 49 virtual machines, with 17 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 627 has 7 low density subscriptions, 7 high density subscriptions, and 6 physical servers with a total of 7 sockets. They are running 37 virtual machines, with 3 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 628 has 4 low density subscriptions, 0 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 4 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 629 has 0 low density subscriptions, 1 high density subscriptions, and 6 physical servers with a total of 6 sockets. They are running 34 virtual machines, with 2 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 630 has 2 low density subscriptions, 6 high density subscriptions, and 4 physical servers with a total of 8 sockets. They are running 22 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 631 has 6 low density subscriptions, 6 high density subscriptions, and 3 physical servers with a total of 2 sockets. They are running 49 virtual machines, with 6 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 632 has 9 low density subscriptions, 4 high density subscriptions, and 4 physical servers with a total of 1 sockets. They are running 30 virtual machines, with 0 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 633 has 2 low density subscriptions, 5 high density subscriptions, and 2 physical servers with a total of 1 sockets. They are running 33 virtual machines, with 4 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 634 has 4 low density subscriptions, 7 high density subscriptions, and 7 physical servers with a total of 3 sockets. They are running 27 virtual machines, with 4 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 635 has 9 low density subscriptions, 6 high density subscriptions, and 4 physical servers with a total of 6 sockets. They are running 7 virtual machines, with 12 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 636 has 9 low density subscriptions, 0 high density subscriptions, and 8 physical servers with a total of 9 sockets. They are running 13 virtual machines, with 0 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 637 has 5 low density subscriptions, 1 high density subscriptions, and 8 physical servers with a total of 1 sockets. They are running 25 virtual machines, with 19 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 638 has 4 low density subscriptions, 6 high density subscriptions, and 6 physical servers with a total of 7 sockets. They are running 37 virtual machines, with 3 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 639 has 4 low density subscriptions, 6 high density subscriptions, and 3 physical servers with a total of 4 sockets. They are running 31 virtual machines, with 7 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 640 has 9 low density subscriptions, 4 high density subscriptions, and 2 physical servers with a total of 8 sockets. They are running 36 virtual machines, with 17 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 641 has 8 low density subscriptions, 2 high density subscriptions, and 8 physical servers with a total of 6 sockets. They are running 49 virtual machines, with 11 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 642 has 1 low density subscriptions, 2 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 47 virtual machines, with 2 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 643 has 5 low density subscriptions, 4 high density subscriptions, and 1 physical servers with a total of 4 sockets. They are running 39 virtual machines, with 12 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 644 has 7 low density subscriptions, 4 high density subscriptions, and 4 physical servers with a total of 8 sockets. They are running 8 virtual machines, with 16 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 645 has 0 low density subscriptions, 3 high density subscriptions, and 8 physical servers with a total of 5 sockets. They are running 18 virtual machines, with 2 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 646 has 1 low density subscriptions, 1 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 20 virtual machines, with 12 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 647 has 3 low density subscriptions, 0 high density subscriptions, and 1 physical servers with a total of 9 sockets. They are running 25 virtual machines, with 9 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 648 has 9 low density subscriptions, 6 high density subscriptions, and 9 physical servers with a total of 3 sockets. They are running 39 virtual machines, with 3 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 649 has 2 low density subscriptions, 6 high density subscriptions, and 2 physical servers with a total of 2 sockets. They are running 29 virtual machines, with 0 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 650 has 8 low density subscriptions, 0 high density subscriptions, and 8 physical servers with a total of 3 sockets. They are running 2 virtual machines, with 13 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 651 has 2 low density subscriptions, 9 high density subscriptions, and 8 physical servers with a total of 9 sockets. They are running 40 virtual machines, with 5 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 652 has 4 low density subscriptions, 8 high density subscriptions, and 7 physical servers with a total of 4 sockets. They are running 17 virtual machines, with 18 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 653 has 8 low density subscriptions, 9 high density subscriptions, and 1 physical servers with a total of 7 sockets. They are running 40 virtual machines, with 3 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 654 has 2 low density subscriptions, 5 high density subscriptions, and 6 physical servers with a total of 2 sockets. They are running 39 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 655 has 9 low density subscriptions, 2 high density subscriptions, and 6 physical servers with a total of 8 sockets. They are running 33 virtual machines, with 19 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 656 has 8 low density subscriptions, 9 high density subscriptions, and 7 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 12 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 657 has 7 low density subscriptions, 8 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 26 virtual machines, with 9 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 658 has 8 low density subscriptions, 4 high density subscriptions, and 4 physical servers with a total of 6 sockets. They are running 47 virtual machines, with 16 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 659 has 2 low density subscriptions, 4 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 24 virtual machines, with 6 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 660 has 3 low density subscriptions, 0 high density subscriptions, and 9 physical servers with a total of 8 sockets. They are running 49 virtual machines, with 12 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 661 has 3 low density subscriptions, 2 high density subscriptions, and 4 physical servers with a total of 6 sockets. They are running 30 virtual machines, with 15 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 662 has 6 low density subscriptions, 5 high density subscriptions, and 4 physical servers with a total of 7 sockets. They are running 1 virtual machines, with 6 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 663 has 0 low density subscriptions, 7 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 42 virtual machines, with 17 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 664 has 3 low density subscriptions, 7 high density subscriptions, and 7 physical servers with a total of 4 sockets. They are running 18 virtual machines, with 6 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 665 has 6 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 7 sockets. They are running 7 virtual machines, with 5 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 666 has 3 low density subscriptions, 3 high density subscriptions, and 3 physical servers with a total of 1 sockets. They are running 43 virtual machines, with 12 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 667 has 9 low density subscriptions, 2 high density subscriptions, and 6 physical servers with a total of 6 sockets. They are running 5 virtual machines, with 2 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 668 has 6 low density subscriptions, 0 high density subscriptions, and 2 physical servers with a total of 2 sockets. They are running 40 virtual machines, with 0 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 669 has 3 low density subscriptions, 3 high density subscriptions, and 9 physical servers with a total of 4 sockets. They are running 37 virtual machines, with 17 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 670 has 2 low density subscriptions, 2 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 19 virtual machines, with 10 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 671 has 2 low density subscriptions, 2 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 34 virtual machines, with 0 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 672 has 2 low density subscriptions, 2 high density subscriptions, and 9 physical servers with a total of 3 sockets. They are running 21 virtual machines, with 4 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 673 has 6 low density subscriptions, 3 high density subscriptions, and 4 physical servers with a total of 2 sockets. They are running 36 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
